metric_name,date,p10,p50,p90
s3.data_transfer,2019-12-26T10:00:00Z,14145.30836969877,31191.030769813493,48236.75316992821
s3.data_transfer,2019-12-26T11:00:00Z,10537.92336637132,27736.635472894224,44935.347579417125
s3.data_transfer,2019-12-26T12:00:00Z,9638.71189162584,26859.67721595741,44080.64254028898
s3.data_transfer,2019-12-26T13:00:00Z,12893.048410025378,30129.89492235059,47366.7414346758
s3.data_transfer,2019-12-26T14:00:00Z,19375.627668784884,36627.7893008499,53879.950932914915
s3.data_transfer,2019-12-26T15:00:00Z,25700.733844914885,42968.144741674994,60235.55563843511
s3.data_transfer,2019-12-26T16:00:00Z,27880.523176495866,45163.16488429653,62445.80659209719
s3.data_transfer,2019-12-26T17:00:00Z,23850.58941077186,41148.44804045011,58446.30667012835
s3.data_transfer,2019-12-26T18:00:00Z,14829.20740440019,32142.269535603933,49455.33166680767
s3.data_transfer,2019-12-26T19:00:00Z,4522.463530566718,21850.71581963537,39178.96810870402
s3.data_transfer,2019-12-26T20:00:00Z,-3173.433888305628,14169.995253987809,31513.424396281247
s3.data_transfer,2019-12-26T21:00:00Z,-6262.5741879310335,11096.018538223336,28454.611264377705
s3.data_transfer,2019-12-26T22:00:00Z,-5178.326643303375,12195.416432128357,29569.15950756009
s3.data_transfer,2019-12-26T23:00:00Z,-1748.1621583234719,15640.718066398074,33029.59829111962
s3.data_transfer,2019-12-27T00:00:00Z,2284.6020282962418,19688.60623676248,37092.61044522872
s3.data_transfer,2019-12-27T01:00:00Z,6045.565031634254,23464.68009259269,40883.795153551124
s3.data_transfer,2019-12-27T02:00:00Z,9372.950597480558,26807.16341382267,44241.37623016478
s3.data_transfer,2019-12-27T03:00:00Z,12302.05138583266,29751.34889444618,47200.6464030597
s3.data_transfer,2019-12-27T04:00:00Z,14815.300353759754,32279.669525381854,49744.038697003954
s3.data_transfer,2019-12-27T05:00:00Z,16907.336892922933,34386.76473199429,51866.19257106565
s3.data_transfer,2019-12-27T06:00:00Z,18584.484523279443,36078.95806779919,53573.431612318935
s3.data_transfer,2019-12-27T07:00:00Z,19618.03540668075,37127.54172806228,54637.04804944381
s3.data_transfer,2019-12-27T08:00:00Z,19392.57673615658,36917.102939084245,54441.62914201191
s3.data_transfer,2019-12-27T09:00:00Z,17313.174574774548,34852.707797061186,52392.24101934783
s3.data_transfer,2019-12-27T10:00:00Z,13672.418515009627,31226.945927454977,48781.47333990033
s3.data_transfer,2019-12-27T11:00:00Z,10170.567356774383,27740.076163024307,45309.584969274234
s3.data_transfer,2019-12-27T12:00:00Z,9275.529399392388,26860.006835798966,44444.48427220555
s3.data_transfer,2019-12-27T13:00:00Z,12530.493164614429,30129.92650009687,47729.35983557931
s3.data_transfer,2019-12-27T14:00:00Z,19013.41579010747,36627.79232601384,54242.16886192022
s3.data_transfer,2019-12-27T15:00:00Z,25338.837961517413,42968.14503148722,60597.45210145703
s3.data_transfer,2019-12-27T16:00:00Z,27518.93994223314,45163.16491206069,62807.38988188824
s3.data_transfer,2019-12-27T17:00:00Z,23489.31777561135,41148.44804310993,58807.57831060851
s3.data_transfer,2019-12-27T18:00:00Z,14468.246540991877,32142.269535858744,49816.29253072561
s3.data_transfer,2019-12-27T19:00:00Z,4161.812635977607,21850.71581965978,39539.619003341955
s3.data_transfer,2019-12-27T20:00:00Z,-3533.7756115706634,14169.995253990148,31873.766119550957
s3.data_transfer,2019-12-27T21:00:00Z,-6622.607533762897,11096.018538223561,28814.64461021002
s3.data_transfer,2019-12-27T22:00:00Z,-5538.052402182544,12195.416432128379,29928.8852664393
s3.data_transfer,2019-12-27T23:00:00Z,-2107.581117356831,15640.718066398078,33389.01725015299
s3.data_transfer,2019-12-28T00:00:00Z,1925.4890853536745,19688.60623676248,37451.72338817129
s3.data_transfer,2019-12-28T01:00:00Z,5686.757324359274,23464.68009259269,41242.60286082611
s3.data_transfer,2019-12-28T02:00:00Z,9014.447348761929,26807.16341382267,44599.879478883406
s3.data_transfer,2019-12-28T03:00:00Z,11943.851821851473,29751.34889444618,47558.845967040885
s3.data_transfer,2019-12-28T04:00:00Z,14457.403703969932,32279.669525381854,50101.935346793776
s3.data_transfer,2019-12-28T05:00:00Z,16549.74239003189,34386.76473199429,52223.78707395669
s3.data_transfer,2019-12-28T06:00:00Z,18227.191403228866,36078.95806779919,53930.72473236952
s3.data_transfer,2019-12-28T07:00:00Z,19261.04290862754,37127.54172806228,54994.04054749702
s3.data_transfer,2019-12-28T08:00:00Z,19035.884102453972,36917.102939084245,54798.32177571452
s3.data_transfer,2019-12-28T09:00:00Z,16956.781050953294,34852.707797061186,52748.63454316908
s3.data_transfer,2019-12-28T10:00:00Z,13316.323349759408,31226.945927454977,49137.56850515054
s3.data_transfer,2019-12-28T11:00:00Z,9814.769801925293,27740.076163024307,45665.38252412332
s3.data_transfer,2019-12-28T12:00:00Z,8920.028709896604,26860.006835798966,44799.984961701324
s3.data_transfer,2019-12-28T13:00:00Z,12175.288598527994,30129.92650009687,48084.564401665746
s3.data_transfer,2019-12-28T14:00:00Z,18658.506608572203,36627.79232601384,54597.078043455476
s3.data_transfer,2019-12-28T15:00:00Z,24984.22342874299,42968.14503148722,60952.06663423145
s3.data_transfer,2019-12-28T16:00:00Z,27164.61932547928,45163.16491206069,63161.710498642096
s3.data_transfer,2019-12-28T17:00:00Z,23135.29034517014,41148.44804310993,59161.605741049716
s3.data_transfer,2019-12-28T18:00:00Z,14114.511570170223,32142.269535858744,50170.027501547265
s3.data_transfer,2019-12-28T19:00:00Z,3808.369401079839,21850.71581965978,39893.06223823973
s3.data_transfer,2019-12-28T20:00:00Z,-3886.9278312600854,14169.995253990148,32226.91833924038
s3.data_transfer,2019-12-28T21:00:00Z,-6975.469455996543,11096.018538223561,29167.506532443665
s3.data_transfer,2019-12-28T22:00:00Z,-5890.624741767024,12195.416432128379,30281.45760602378
s3.data_transfer,2019-12-28T23:00:00Z,-2459.8645861697205,15640.718066398078,33741.300718965875
s3.data_transfer,2019-12-29T00:00:00Z,1573.4937783470814,19688.60623676248,37803.71869517788
