metric_name,date,p10,p50,p90
s3.storage,2019-12-26T09:00:00Z,44630.72593818388,44635.32214377242,44639.91834936096
s3.storage,2019-12-26T10:00:00Z,44631.59248745382,44639.256492930406,44646.920498406995
s3.storage,2019-12-26T11:00:00Z,44632.48425678216,44642.300001994736,44652.11574720731
s3.storage,2019-12-26T12:00:00Z,44633.07012717541,44644.64426767098,44656.21840816655
s3.storage,2019-12-26T13:00:00Z,44634.318997955845,44647.41757048663,44660.51614301741
s3.storage,2019-12-26T14:00:00Z,44637.40013406485,44651.86334520474,44666.32655634464
s3.storage,2019-12-26T15:00:00Z,44642.52980168059,44658.239555039894,44673.9493083992
s3.storage,2019-12-26T16:00:00Z,44648.5741453885,44665.438552426494,44682.30295946449
s3.storage,2019-12-26T17:00:00Z,44653.76422299483,44671.709141464315,44689.6540599338
s3.storage,2019-12-26T18:00:00Z,44656.90832339975,44675.87228851808,44694.836253636415
s3.storage,2019-12-26T19:00:00Z,44658.065988642746,44677.9969657172,44697.92794279165
s3.storage,2019-12-26T20:00:00Z,44658.18173611472,44679.0349306248,44699.88812513489
s3.storage,2019-12-26T21:00:00Z,44658.138027379195,44679.874347109275,44701.610666839355
s3.storage,2019-12-26T22:00:00Z,44658.15438368173,44680.739322679685,44703.32426167764
s3.storage,2019-12-26T23:00:00Z,44658.01825339833,44681.42105971882,44704.82386603931
s3.storage,2019-12-27T00:00:00Z,44657.76429861082,44681.957339300396,44706.15037998997
s3.storage,2019-12-27T01:00:00Z,44657.99881276558,44682.957079771535,44707.91534677749
s3.storage,2019-12-27T02:00:00Z,44659.48989247569,44685.19061164994,44710.89133082418
s3.storage,2019-12-27T03:00:00Z,44662.44691535512,44688.86923244137,44715.291549527625
s3.storage,2019-12-27T04:00:00Z,44666.25917216025,44693.38389730798,44720.5086224557
s3.storage,2019-12-27T05:00:00Z,44669.99951913468,44697.80891661957,44725.61831410446
s3.storage,2019-12-27T06:00:00Z,44673.2073854973,44701.68499885596,44730.162612214626
s3.storage,2019-12-27T07:00:00Z,44676.16760028127,44705.29810554188,44734.42861080249
s3.storage,2019-12-27T08:00:00Z,44679.414712280006,44709.18379373832,44738.95287519663
s3.storage,2019-12-27T09:00:00Z,44682.99934195844,44713.39358623272,44743.787830507
s3.storage,2019-12-27T10:00:00Z,44686.32113034507,44717.327935390706,44748.33474043634
s3.storage,2019-12-27T11:00:00Z,44688.76394798235,44720.371444455035,44751.97894092772
s3.storage,2019-12-27T12:00:00Z,44690.51872723841,44722.71571013128,44754.91269302415
s3.storage,2019-12-27T13:00:00Z,44692.71314405627,44725.48901294692,44758.26488183757
s3.storage,2019-12-27T14:00:00Z,44696.59008110358,44729.93478766504,44763.2794942265
s3.storage,2019-12-27T15:00:00Z,44702.406995821875,44736.310997500186,44770.2149991785
s3.storage,2019-12-27T16:00:00Z,44709.05577592981,44743.509994886794,44777.96421384378
s3.storage,2019-12-27T17:00:00Z,44714.78479734867,44749.780583924614,44784.77637050056
s3.storage,2019-12-27T18:00:00Z,44718.4146309025,44753.94373097838,44789.47283105426
s3.storage,2019-12-27T19:00:00Z,44720.01388243752,44756.068408177496,44792.122933917475
s3.storage,2019-12-27T20:00:00Z,44720.533969548174,44757.1063730851,44793.67877662203
s3.storage,2019-12-27T21:00:00Z,44720.86273987566,44757.94578956957,44795.028839263476
s3.storage,2019-12-27T22:00:00Z,44721.22400618508,44758.810765139984,44796.397524094886
s3.storage,2019-12-27T23:00:00Z,44721.40869560905,44759.49250217912,44797.576308749194
s3.storage,2019-12-28T00:00:00Z,44721.454331706285,44760.028781760695,44798.603231815105
s3.storage,2019-12-28T01:00:00Z,44721.9695914844,44761.028522231834,44800.08745297927
s3.storage,2019-12-28T02:00:00Z,44723.724578909285,44763.26205411024,44802.79952931119
s3.storage,2019-12-28T03:00:00Z,44726.93037848438,44766.94067490166,44806.95097131895
s3.storage,2019-12-28T04:00:00Z,44730.977744810916,44771.455339768276,44811.932934725635
s3.storage,2019-12-28T05:00:00Z,44734.94079914495,44775.88035907987,44816.81991901479
